root_630,pre,pos_x,pos_y,pos_z,cell_class,cell_type,known_nt,acetylcholine,gaba,glutamate,dopamine,serotonin,octopamine,num_nts,is_cotransmitter
720575940632413604,459.0,103300.0,36290.0,4837,,LHPV5b2,acetylcholine,True,False,False,False,False,False,1,False
720575940628757547,3965.0,108400.0,29180.0,2864,MBON,MBON15-like,acetylcholine,True,False,False,False,False,False,1,False
720575940612196850,3219.0,153300.0,32090.0,3298,MBON,MBON15-like,acetylcholine,True,False,False,False,False,False,1,False
720575940623377802,5721.0,109300.0,28570.0,2828,MBON,MBON16,"acetylcholine, amnesiac, allatostatin-c, Dh44",True,False,False,False,False,False,1,False
720575940626744921,5548.0,154800.0,31090.0,2349,MBON,MBON16,"acetylcholine, amnesiac, allatostatin-c, Dh44",True,False,False,False,False,False,1,False
720575940617760257,4888.0,155100.0,31220.0,2319,MBON,MBON17,"acetylcholine, amnesiac, allatostatin-c, Dh44",True,False,False,False,False,False,1,False
720575940638774606,5205.0,108400.0,28900.0,2854,MBON,MBON17,"acetylcholine, amnesiac, allatostatin-c, Dh44",True,False,False,False,False,False,1,False
720575940634822751,5163.0,154900.0,31290.0,2382,MBON,MBON17-like,"acetylcholine, amnesiac, allatostatin-c, Dh44",True,False,False,False,False,False,1,False
720575940624539284,11640.0,107700.0,28670.0,2923,MBON,MBON18,acetylcholine,True,False,False,False,False,False,1,False
720575940634482783,3839.0,153300.0,27480.0,2285,MBON,MBON19,acetylcholine,True,False,False,False,False,False,1,False
720575940626833021,3068.0,110700.0,25640.0,2765,MBON,MBON19,acetylcholine,True,False,False,False,False,False,1,False
720575940626109315,2996.0,152200.0,28360.0,2380,MBON,MBON19,acetylcholine,True,False,False,False,False,False,1,False
720575940623841463,2709.0,110700.0,25760.0,2742,MBON,MBON19,acetylcholine,True,False,False,False,False,False,1,False
720575940614892182,7614.0,155400.0,31570.0,2500,MBON,MBON28,acetylcholine,True,False,False,False,False,False,1,False
720575940614595218,7508.0,108300.0,28960.0,2883,MBON,MBON28,acetylcholine,True,False,False,False,False,False,1,False
720575940630941783,3012.0,115400.0,31180.0,3531,CX,CB.FB2E6,glutamate,False,False,True,False,False,False,1,False
720575940637947994,1017.0,98870.0,38570.0,4943,,CB1656,acetylcholine,True,False,False,False,False,False,1,False
720575940629494010,927.0,102400.0,37060.0,4857,,CB3138,acetylcholine,True,False,False,False,False,False,1,False
720575940632844002,2577.0,141300.0,27440.0,4013,CX,EPG,"acetylcholine, space blanket",True,False,False,False,False,False,1,False
720575940604801993,3037.0,142200.0,27300.0,4047,CX,EPG,"acetylcholine, space blanket",True,False,False,False,False,False,1,False
720575940627140551,2986.0,142600.0,28980.0,4105,CX,EPG,"acetylcholine, space blanket",True,False,False,False,False,False,1,False
720575940632614295,2793.0,118800.0,36740.0,5170,CX,EPG,"acetylcholine, space blanket",True,False,False,False,False,False,1,False
720575940610901930,2102.0,121500.0,28990.0,4684,CX,EPG,"acetylcholine, space blanket",True,False,False,False,False,False,1,False
720575940611216099,2487.0,142600.0,27800.0,4129,CX,EPG,"acetylcholine, space blanket",True,False,False,False,False,False,1,False
720575940658101889,2169.0,119400.0,34140.0,5072,CX,EPG,"acetylcholine, space blanket",True,False,False,False,False,False,1,False
720575940618612952,2282.0,123900.0,27380.0,4188,CX,EPG,"acetylcholine, space blanket",True,False,False,False,False,False,1,False
720575940622364771,2694.0,144400.0,28070.0,4249,CX,EPG,"acetylcholine, space blanket",True,False,False,False,False,False,1,False
720575940637330142,1226.0,123300.0,28110.0,4173,CX,PEG,"acetylcholine, space blanket, CCHa1, bursicon",True,False,False,False,False,False,1,False
720575940605135038,742.0,139600.0,25770.0,3677,CX,PEG,"acetylcholine, space blanket, CCHa1, bursicon",True,False,False,False,False,False,1,False
720575940643020836,2057.0,136900.0,46920.0,1975,CX,ER2,gaba,False,True,False,False,False,False,1,False
720575940610208917,1988.0,134300.0,48520.0,1803,CX,ER2,gaba,False,True,False,False,False,False,1,False
720575940617630001,2046.0,137000.0,47890.0,1959,CX,ER2,gaba,False,True,False,False,False,False,1,False
720575940620084604,2171.0,136800.0,48340.0,1939,CX,ER2,gaba,False,True,False,False,False,False,1,False
720575940628362812,2143.0,135400.0,49110.0,1870,CX,ER2,gaba,False,True,False,False,False,False,1,False
720575940630904121,2010.0,124100.0,48520.0,1886,CX,ER4d,gaba,False,True,False,False,False,False,1,False
720575940606102729,2192.0,137700.0,48480.0,1959,CX,ER4d,gaba,False,True,False,False,False,False,1,False
720575940643915300,2170.0,135200.0,49460.0,1869,CX,ER4d,gaba,False,True,False,False,False,False,1,False
720575940631487047,2170.0,123300.0,47660.0,1972,CX,ER4d,gaba,False,True,False,False,False,False,1,False
720575940615650022,1492.0,133600.0,50050.0,1736,CX,ER5,gaba,False,True,False,False,False,False,1,False
720575940637126222,1538.0,134300.0,49940.0,1761,CX,ER5,gaba,False,True,False,False,False,False,1,False
720575940626610960,1545.0,134300.0,50170.0,1737,CX,ER5,gaba,False,True,False,False,False,False,1,False
720575940630075703,14337.0,126700.0,71600.0,1540,MBON,MBON12,acetylcholine,True,False,False,False,False,False,1,False
720575940623001480,13582.0,138600.0,74010.0,1346,MBON,MBON12,acetylcholine,True,False,False,False,False,False,1,False
720575940645304430,14101.0,127900.0,73620.0,1541,MBON,MBON13,acetylcholine,True,False,False,False,False,False,1,False
720575940643696288,4533.0,126800.0,70620.0,1586,MBON,MBON14,"acetylcholine, sparkly",True,False,False,False,False,False,1,False
720575940632535756,4768.0,127300.0,69540.0,1606,MBON,MBON14,"acetylcholine, sparkly",True,False,False,False,False,False,1,False
720575940626143550,952.0,90730.0,27900.0,4433,LHLN,CB1813,glutamate,False,False,True,False,False,False,1,False
720575940614478230,1279.0,93610.0,28760.0,4472,LHLN,CB2722,glutamate,False,False,True,False,False,False,1,False
720575940615917580,2278.0,85900.0,38030.0,3782,LHLN,LHAV4a1_b,gaba,False,True,False,False,False,False,1,False
720575940619253809,4149.0,96980.0,37790.0,4533,LHLN,LHAV2m1,acetylcholine,True,False,False,False,False,False,1,False
720575940635917935,1465.0,86590.0,41370.0,3912,LHLN,CB2212,gaba,False,True,False,False,False,False,1,False
720575940620221972,1006.0,85080.0,38160.0,3893,,CB2028,gaba,False,True,False,False,False,False,1,False
720575940614468007,4685.0,94680.0,38930.0,4906,,CB1518,glutamate,False,False,True,False,False,False,1,False
720575940647472260,1059.0,86380.0,33690.0,4054,LHLN,CB1535,glutamate,False,False,True,False,False,False,1,False
720575940625066388,1134.0,88790.0,34160.0,4679,LHLN,CB1571,glutamate,False,False,True,False,False,False,1,False
720575940614883551,1382.0,90600.0,36150.0,4809,LHLN,CB1571,glutamate,False,False,True,False,False,False,1,False
720575940628415473,672.0,90250.0,35150.0,4589,,CB2799,glutamate,False,False,True,False,False,False,1,False
720575940618038813,1231.0,91480.0,36720.0,4865,LHLN,CB2807,glutamate,False,False,True,False,False,False,1,False
720575940634298975,1163.0,90850.0,37880.0,4872,LHLN,CB2807,glutamate,False,False,True,False,False,False,1,False
720575940621129181,376.0,155300.0,42110.0,3898,Kenyon_Cell,KCapbp-ap2,"acetylcholine, sparkly",True,False,False,False,False,False,1,False
720575940624149256,357.0,146700.0,28380.0,3990,Kenyon_Cell,KCapbp-ap2,"acetylcholine, sparkly",True,False,False,False,False,False,1,False
720575940629445626,523.0,115200.0,36430.0,5213,Kenyon_Cell,KCapbp-ap1,"acetylcholine, sparkly",True,False,False,False,False,False,1,False
720575940629055447,4274.0,140100.0,38190.0,4191,CX,Delta7,"glutamate, proctolin, ecdysis- triggering hormone, bursicon",False,False,True,False,False,False,1,False
720575940634627191,4011.0,123900.0,37750.0,4424,CX,Delta7,"glutamate, proctolin, ecdysis- triggering hormone, bursicon",False,False,True,False,False,False,1,False
720575940611296790,4914.0,141700.0,38410.0,4365,CX,Delta7,"glutamate, proctolin, ecdysis- triggering hormone, bursicon",False,False,True,False,False,False,1,False
720575940620589082,4171.0,141700.0,38310.0,4311,CX,Delta7,"glutamate, proctolin, ecdysis- triggering hormone, bursicon",False,False,True,False,False,False,1,False
720575940645823876,3991.0,146400.0,40510.0,4358,CX,Delta7,"glutamate, proctolin, ecdysis- triggering hormone, bursicon",False,False,True,False,False,False,1,False
720575940619169518,4400.0,120000.0,58640.0,5430,CX,Delta7,"glutamate, proctolin, ecdysis- triggering hormone, bursicon",False,False,True,False,False,False,1,False
720575940639624307,909.0,104800.0,31400.0,3482,,LHAV6c1a,glutamate,False,False,True,False,False,False,1,False
720575940626132030,1106.0,95790.0,38060.0,3553,,LHAD1f4c,glutamate,False,False,True,False,False,False,1,False
720575940614443687,2123.0,96330.0,41150.0,3591,,LHAD1a2,acetylcholine,True,False,False,False,False,False,1,False
